"FileName","LOC","FanIn","FanOut","DistinctIssueCount","TargetChangeCount","TargetChurn","ChangeCount","ChangeChurn","numClique","numCrossing","isCenter","numModularityViolation","numPackageCycle","numUnhealthyInheritance","numUnstableInterface","isUnstableInterface"
"test/color-test.cc","60","0","2","0","0","0","0","0","0","0","false","0","1","0","0","false"
"test/gtest/gmock/gmock.h","6791","10","0","0","0","0","1.0","34.0","0","0","false","0","0","0","0","false"
"test/posix-mock-test.cc","377","1","9","0","0","0","2.0","67.0","1","0","false","1","1","1","0","false"
"test/fuzzing/two-args.cc","92","0","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
"test/base-test.cc","729","0","0","0","0","0","32.0","1400.0","0","0","false","4","0","0","3","false"
"test/no-builtin-types-test.cc","14","0","2","0","0","0","1.0","24.0","0","0","false","0","1","0","0","false"
"include/fmt/compile.h","444","7","2","0","0","0","24.0","239.0","0","0","false","3","2","0","3","false"
"test/posix-mock.h","52","1","0","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src/format.cc","23","4","3","0","0","0","4.0","5.0","0","0","false","0","1","0","0","false"
"test/chrono-test.cc","901","0","4","0","0","0","10.0","157.0","0","0","false","1","1","1","1","false"
"test/cuda-test/cpp14.cc","5","0","1","0","0","0","1.0","2.0","0","0","false","0","0","0","0","false"
"include/fmt/os.h","233","10","2","0","0","0","22.0","330.0","0","1","false","3","2","1","3","false"
"test/fuzzing/one-arg.cc","81","0","2","0","0","0","0","0","0","0","false","0","0","0","0","false"
