Type,FileCount,ChangeCount,ChangeChurn
1,12.0,221.0,6430.0
2,11.0,233.0,6275.0
3,10.0,417.0,19300.0
4,9.0,308.0,14006.0
5,9.0,290.0,8808.0
6,9.0,278.0,8257.0
7,8.0,177.0,4361.0

ModularityViolation-All,30.0,564.0,28150.0
