"FileName","Churn","IssueId","CommitId"
"include/fmt/core.h","2","","3d84b45a22a9d21afacdb6b550c08c279184aeaa"
"","4","","4331abed26bb3bbbfb80957ec9a8c015b5d00a8b"
"","1","","58a6bd48a8dc7ea74bb9fd900c60fd333a85725f"
"","2955","","79f1506fe3a7fae7c22c55d3cd7cdc33bc536dae"
"","36","","4d616479b577eaf1f5a88dc6b8cf038aafb58d05"
"","18","","7ba6420540383f378c48834beb46f9cec5504dd2"
"","71","","f7ed65fa4a7e5b1ccaa775746dbe63deb6a91190"
"","111","","f34f31b3210f8d10ddfe266ba4a853e0a35416da"
"","106","","fb66131efae3796a301cb30fca22f12433e63780"
"","39","","6af30d8f75d3a29dd91dacfe77be052991b8a65a"
"","38","","c177324ba97d6d864a18543c06ab04b9039a3791"
"","134","","545d37a8b07619d856078d423c6c8c433a288d27"
"","299","","a5ae9ae19d59a15def6538e55fd284c338f00f84"
"","5","","23e8109d8d4276f4d19394ac2d44d49701b9406b"
"","61","","48d7fb265bc0c51a7bf8282b41536853182a8c21"
"","53","","f348d1a211bcfa8c6f70195d91ad3ae783b64130"
"","21","","df67df7b4c640a23905c4909490f42dc0707db48"
"","5","","17f79ac6cfc9a45248846c61e7ef30ecadf88cb6"
"","14","","dbdfc99fa1cfe9e389c320504dfa4463bdf28b00"
"","25","","c1d9e88402cf2755502df4db6de9e9a127f49edb"
"","38","","1b7d9db0ce04b5e22cdbfd0606a499d38b202382"
"","37","","0641b844accb670ad8aee771a9db143d43811fce"
"","36","","1e938dda200e8f262bfbec31e291d639c9bb3c38"
"","33","","2e5b14bf603429a08ab9480bcd1fd537a2fe8f16"
"","3","","bee495c97f15f6ca9012756e1e0050bf2e69c648"
"","2","","c7061776ab5330fb09c07596b57e7c154310c427"
"","29","","dc52d176de8267f618cb54cc782a2917b4abc5ca"
"","13","","0e3e61cc0a0e278601fcbbaca2f7b2da3165b874"
"","108","","800a0bb23f0bb45bfabecb4236bd1a3f40f9632d"
"","45","","f2e43f967c3ed49aac5219f0d9e2b8415d533990"
"","27","","c9287eb9f7f88e94f7b0ae36a7969b2449df08e6"
"","38","","61f144bd61c8d4c6ecbb0b7e5582c559a52c0aa2"
"","4","","4687f8e37e8f6ebf2112445750ec21d85164abd6"
"","71","","f2c55f6bb8a487fbb524a992da63fd0f94045b41"
"","27","","c9d233c0a4104e5b59420e89c2796f2a4bafffef"
"","1","","4e43a46993780e9adbcccb3b7dd74aeb36fada2d"
"","8","","c36ed77ff0aac7b59eda7d2f6d968712be967d4d"
"","27","","e2ab9ab22b4e138bb5004dcbcacc3a200218db08"
"","2","","0378d171f95319bccc2f6e01307d1417bff1dd5e"
"","76","","63ce1708532b7f884541d536ecb1caf3c11dd9ad"
"","7","","74ffea0dcfee4a06fb3e153bfb1f8e69c797681c"
"","11","","f4a7d40dcaa0def8db2a873e53669344f2ecd667"
"","113","","068bf9bad8a6f96a9a47477939b4699f14ebeac5"
"","4","","50565f9853926501bd1c9bda07c6a98f4d940691"
"","14","","0b39d67103025c4b15c424ff5e2ce4ce7399edd8"
"","2","","b0569451a798232efc7a5eaa0c210e6626069e06"
"test/gtest/gmock/gmock.h","34","","5bf577ca58f8775f59cd14a9bc8a84b6eca862e5"
"CMakeLists.txt","8","","ed27df5760490eaaa620c2537c59c6ace2d90c4e"
"","1","","01a5b56f0dedbb81701b2746cc245898e6900736"
"","2","","c43da35701b89e9368a40d36c69e7fc87eeff50a"
"","10","","d57040f949eb508bd3bd1f73bf97cb852d5e5d6f"
"","19","","5fa4bdd758073ad64619fc53d345255b5abed5ec"
"","4","","f924d16e4789d6bde9def439ac50b778a1536384"
"","8","","6870e4b06bbf0a0ddd98534a393a561261b3153c"
"","4","","fb07b37c5b104e98a9316668c8dbbed166c9b873"
"","6","","e50c8b6bd870eb743b2cf13850d5aafcf7d1bad8"
"","2","","6f68c62cb5d1bbf661fbde28224f1067b6b27e41"
"","2","","d059fe42a87a45a5ca337fecbbcbe10b0bcf5ca5"
"","3","","43c5b34749d338be15dac11d3039c0266097a28a"
"","5","","0fae326c42e121bf888f12cfa4136ab02ebed3d0"
"","4","","8b1fcf5cc107419ddf2a2058bf4cd0420c6d4003"
"","16","","98dd673cf829a69fb6a7715aa1341491a1a70930"
"","10","","c4ea903250e20c3ffa9b70695c33207dc9b9a0e2"
"","4","","6ceef04dfe9ce99ffc12e596da0ad716e2af92ad"
"","4","","ab6b257a3908e1aeb247a09964e1b8db422c5890"
"","4","","077e4ae746cde56559d72babe278e3d189bb2b3a"
"","3","","b5c8fd783ced18a29ac77aff04ee0f83008c0900"
"","1","","e6d4f927cc7465e43dba5ebc9ad0ad61f8cda9d6"
"","3","","8de3e87da1f3088963944633fded6c639559ab64"
"","3","","46d2acb3ba30f85ecacab8ea828454fcc0589144"
"","2","","0f6e7165489c392e717a16adc449001f17fa2d87"
"","2","","21372bc0b2c844aaf0ec83cface42ef59d505ca1"
